"","houseid","cityid","adrnum","street","state","zip","bathnum","bednum","outview","numlvl","yrbuilt","landsz","condtn","housesz","closedt","sellprice","origprice","longitude","latitude"
"1",1,65,"95-208","Hoailona","HI",96789,2,2,"None",1,1993,2820,4,796,2013-06-28,450000,450000,-157.999666,21.472099
"2",2,65,"95-229","Haike","HI",96789,2,2,"None",1,1998,2911,3,850,2014-08-13,525000,400000,-157.9939379,21.4804094
"3",3,65,"95-1007","Puneki","HI",96789,2,2,"Mountain",1,1992,4561,5,1071,2013-06-04,540000,528000,-157.998492,21.463912
"4",4,65,"95-943","Ukuwai","HI",96789,3,3,"Garden",2,2006,1175,5,0,2015-02-11,540000,545000,-158.009391,21.473172
"5",5,65,"95-973","Keehau","HI",96789,3,3,"Mountain,Other",2,2003,3537,3,1385,2013-05-31,550000,496700,-157.9895428,21.4806377
"6",6,65,"95-224","Hoailona","HI",96789,2,3,"Other",1,1993,2880,4,892,2014-08-27,550000,545000,-157.999723,21.472808
"7",7,65,"95-1031","Paepae","HI",96789,2,3,"Mountain",1,2000,2820,5,972,2013-12-13,561000,550000,-157.9877924,21.4761764
"8",8,65,"95-1006","Paea","HI",96789,2,2,"None",1,1998,3313,4,850,2013-10-22,565000,549000,-157.9937483,21.4801253
"9",9,65,"95-1010","Paea","HI",96789,2,3,"Mountain",2,1998,4710,4,1264,2013-07-19,570000,620000,-157.99385,21.48022
"10",10,65,"95-229","Hoailona","HI",96789,2,3,"None",2,1993,3055,5,1080,2013-07-15,570000,578000,-157.9994199,21.4729439
"11",11,65,"95-1043","Hoahui","HI",96789,2,3,"Mountain",1,2000,3252,5,964,2013-08-30,575000,575000,-157.9906455,21.4823805
"12",12,65,"95-1018","Halekua","HI",96789,2,2,"None",1,1998,3264,3,850,2014-06-13,577000,575000,-157.9931925,21.4799896
"13",13,65,"95-1059","Kahakiki","HI",96789,3,3,"None",2,2001,3751,3,1428,2013-09-10,580000,589000,-157.982474,21.4814839
"14",14,65,"95-233","Haike","HI",96789,3,3,"Garden,Mountain,Ocean",2,1998,4924,4,1356,2013-07-15,580000,568000,-157.9938212,21.4804795
"15",15,65,"95-1046","Puuanu","HI",96789,3,3,"Mountain,Ocean",2,2002,4633,4,1254,2013-07-31,590000,610000,-157.9897734,21.4794669
"16",16,65,"95-1032","Aelike","HI",96789,2,3,"None",2,1993,4355,3,1080,2014-10-24,590000,575000,-158.00207,21.472851
"17",17,65,"95-1232","Moea","HI",96789,2,3,"Mountain,Sunset",1,2004,2805,5,968,2015-04-29,590000,610000,-158.0043642,21.4765296
"18",18,65,"95-1017","Aelike","HI",96789,2,3,"None",2,1993,4692,3,1080,2014-09-19,599000,599000,-158.00158,21.47224
"19",19,65,"95-218","Kahele","HI",96789,3,3,"City,Mountain",2,1993,2820,5,1080,2015-03-16,601000,625000,-158.000751,21.472817
"20",20,65,"95-1081","Kahakiki","HI",96789,3,3,"Other,Sunrise,Sunset",3,2001,3750,5,1560,2013-05-31,610000,599000,-157.981471,21.481706
"21",21,65,"95-218","Ahohui","HI",96789,2,3,"None",2,2000,4089,5,1310,2013-06-26,610000,578000,-157.9909832,21.4814532
"22",22,65,"95-220","Puakai","HI",96789,2,3,"Mountain",2,1998,2692,4,1264,2015-02-04,615000,639000,-157.9921468,21.4810905
"23",23,65,"95-1036","Puuanu","HI",96789,3,3,"Ocean",2,2002,4582,4,1254,2014-01-30,618000,598000,-157.990144,21.4793935
"24",24,65,"95-207","Puneki","HI",96789,3,3,"Garden,Mountain",2,1992,4666,4,1407,2013-05-31,620000,620000,-157.9980349,21.463175
"25",25,65,"95-1047","Hoahui","HI",96789,2,3,"Mountain",2,2000,3686,5,1310,2013-10-30,620000,625000,-157.9904828,21.4824102
"26",26,65,"95-2068","Puukaa","HI",96789,3,3,"None",2,2003,3102,4,1254,2014-08-25,625000,599000,-157.988213,21.4788669
"27",27,65,"95-1023","Aahu","HI",96789,3,3,"Mountain,Ocean,Other,Sunset",2,2002,3196,4,1628,2014-02-11,635000,725000,-157.9912514,21.4779601
"28",28,65,"95-1080","Halekua","HI",96789,2,3,"None",2,1998,3357,5,1265,2014-05-16,635000,659000,-157.9918456,21.4808889
"29",29,65,"95-214","AAHU","HI",96789,2,3,"Garden,Mountain",2,1996,4395,5,1144,2014-06-10,635000,625000,-157.992106,21.479264
"30",30,65,"95-1059","Puukoa","HI",96789,3,3,"Mountain",2,2002,3437,4,1254,2014-07-25,635000,628000,-157.988165,21.4780917
"31",31,65,"95-1228","Moea","HI",96789,3,3,"None",2,2004,2530,5,1614,2014-06-27,635000,630000,-158.0043853,21.4767209
"32",32,65,"95-1045","Kopalani","HI",96789,2,3,"Garden,Mountain,Other",1,1995,5170,5,1020,2014-01-23,639000,629000,-158.000128,21.477067
"33",33,65,"95-1034","Akeake","HI",96789,2,3,"None",2,1993,4607,4,1477,2013-10-16,640000,640000,-157.9935115,21.4664993
"34",34,65,"95-1044","Pakau","HI",96789,4,3,"None",1,1992,4600,5,1398,2014-04-07,640000,650000,-157.9936914,21.4680296
"35",35,65,"95-2000","Puukaa","HI",96789,3,3,"Other",2,2002,3453,5,1254,2014-11-12,642000,645000,-157.9910966,21.4782405
"36",36,65,"95-1039","Palamoa","HI",96789,3,4,"Mountain",2,2001,3800,5,1529,2013-08-30,645000,660000,-157.986856,21.478118
"37",37,65,"95-1061","Puulu","HI",96789,2,3,"Garden",1,1992,4998,4,1226,2014-05-14,645000,650000,-157.9920799,21.467197
"38",38,65,"95-206","Ululele","HI",96789,3,3,"Mountain",2,1995,9622,3,1416,2015-04-30,645000,760000,-157.99899,21.479313
"39",39,65,"95-1037","Hololani","HI",96789,2,3,"Mountain,Sunset",1,1998,5301,5,1496,2013-05-30,649000,649000,-158.0012099,21.479678
"40",40,65,"95-1035","Mahelu","HI",96789,3,3,"Garden",2,2004,3445,5,1369,2013-06-28,650000,670000,-157.982496,21.480427
"41",41,65,"95-1009","LOLELAU","HI",96789,2,3,"Garden,Mountain",1,2003,6912,3,1570,2013-10-25,650000,630000,-157.984849,21.476718
"42",42,65,"95-1079","Kopalani","HI",96789,2,3,"None",1,1995,5401,5,1020,2014-05-14,650000,640000,-157.999047,21.478047
"43",43,65,"95-205","Ahunalii","HI",96789,3,3,"Mountain",2,1996,4116,5,1364,2014-07-18,650000,629000,-157.991595,21.480097
"44",44,65,"95-1024","Ohi","HI",96789,2,3,"Mountain",2,1995,6968,4,1134,2014-12-12,650000,660000,-158.000257,21.477528
"45",45,65,"95-230","Halepule","HI",96789,3,3,"None",2,2004,2879,4,1224,2015-01-29,650000,689000,-157.9831094,21.4805544
"46",46,65,"95-1054","Halekia","HI",96789,3,3,"Other",2,2000,8292,5,1428,2013-09-18,653000,649888,-157.9876998,21.4815759
"47",47,65,"95-1022","Akeake","HI",96789,3,4,"None",2,1992,4720,3,1777,2014-09-12,653000,660000,-157.993822,21.466884
"48",48,65,"95-1015","Paepae","HI",96789,3,3,"Garden,Mountain,Sunset",2,2001,2818,4,1614,2014-02-27,655000,639500,-157.9880528,21.4768027
"49",49,65,"95-1118","Halekua","HI",96789,3,3,"None",2,1999,4238,5,1356,2014-07-17,655000,665000,-157.990305,21.4815291
"50",50,65,"95-1030","Puukoa","HI",96789,3,4,"Mountain,Sunset",2,2002,3475,4,1529,2015-03-23,655000,705000,-157.9895012,21.4784289
"51",51,65,"95-1015","Pahaku","HI",96789,3,3,"None",2,2000,4361,4,1584,2013-08-30,656000,695000,-157.996301,21.480743
"52",52,65,"95-202","Puneki","HI",96789,2,3,"None",2,1992,6591,3,1477,2014-03-19,659000,659000,-157.998468,21.46312
"53",53,65,"95-214","Kaela","HI",96789,4,4,"Mountain",2,2003,4308,4,1673,2013-06-19,660000,655000,-157.9885591,21.4804171
"54",54,65,"95-218","Kuikepa","HI",96789,3,3,"None",2,1995,5670,4,1416,2013-10-18,660000,675000,-157.999809,21.478061
"55",55,65,"95-1019","Hoakua","HI",96789,3,4,"None",2,2000,3275,5,1529,2014-08-21,660000,670000,-157.9868926,21.4770064
"56",56,65,"95-1083","Puuanu","HI",96789,3,3,"Garden,Mountain",2,2003,2846,5,1614,2014-04-04,665000,664900,-157.9880717,21.4790069
"57",57,65,"95-1048","Hoahui","HI",96789,3,3,"Mountain,Sunset",2,2000,4914,5,1580,2014-05-09,665000,665000,-157.9905404,21.4827472
"58",58,65,"95-210","Mahelu","HI",96789,3,3,"Mountain",2,2004,3091,4,1587,2014-04-24,670000,679000,-157.982496,21.480427
"59",59,65,"95-1009","Moha","HI",96789,3,3,"None",2,2004,3061,4,1369,2015-03-27,670000,665000,-158.005934,21.4765507
"60",60,65,"95-202","Kaukini","HI",96789,3,4,"Mountain",2,2003,4132,4,1529,2015-01-29,674444,699000,-157.9878645,21.4807558
"61",61,65,"95-1219","MEHEU","HI",96789,3,3,"Coastline,Mountain,Ocean",2,2000,4131,5,1378,2013-10-09,675000,675000,-157.9950086,21.4808927
"62",62,65,"95-1009","Moohele","HI",96789,2,3,"Other",1,2006,4400,5,1481,2014-05-30,676000,689000,-158.010518,21.474219
"63",63,65,"95-1030","Palamoa","HI",96789,3,3,"Garden,Other",2,2001,4361,5,1529,2013-11-22,677000,655000,-157.9872607,21.4778958
"64",64,65,"95-1010","Kekahi","HI",96789,3,4,"Mountain,Other",2,2002,2850,5,1529,2014-08-22,677000,679500,-157.989477,21.477516
"65",65,65,"95-1059","Kahakiki","HI",96789,3,3,"None",2,2001,3749,4,1428,2015-04-30,680000,700000,-157.982474,21.4814839
"66",66,65,"95-1032","Hoakua","HI",96789,3,3,"Garden,Other",1,2001,3226,5,1385,2015-04-10,680000,670000,-157.9868893,21.4775134
"67",67,65,"95-1089","Paalii","HI",96789,3,3,"Mountain,Ocean",2,2003,2994,4,1614,2015-04-02,681000,700000,-157.9885143,21.4795299
"68",68,65,"95-1105","Paalii","HI",96789,3,4,"Coastline,Mountain",2,2003,3378,5,1529,2014-05-02,682000,669000,-157.9878865,21.4794859
"69",69,65,"95-1046","Paepae","HI",96789,3,4,"Garden",2,2000,5419,4,1735,2013-10-25,685000,699000,-157.987244,21.4757811
"70",70,65,"95-1015","Moha","HI",96789,3,4,"Garden,Mountain,Sunset",2,2004,4513,5,1513,2013-10-11,685000,680000,-158.00577,21.4763349
"71",71,65,"95-1037","Paepae","HI",96789,3,4,"Garden,Mountain",2,2000,2820,5,1529,2014-08-29,685000,682000,-157.9876714,21.4759506
"72",72,65,"95-1038","Aliana","HI",96789,3,3,"Mountain,Sunset",2,2004,3055,5,1369,2014-10-22,685000,680000,-157.983496,21.479905
"73",73,65,"95-1018","Hoalumi","HI",96789,3,3,"Mountain,Ocean,Sunrise",2,2001,4980,5,1529,2013-12-20,687000,685000,-157.9865006,21.4787372
"74",74,65,"95-1010","Ahikao","HI",96789,2,3,"None",1,1991,5149,3,1412,2015-05-07,688000,703000,-157.999733,21.465856
"75",75,65,"95-1012","Kahonua","HI",96789,3,2,"None",2,1992,4720,5,2108,2013-08-30,689000,639000,-157.9933419,21.4672358
"76",76,65,"95-325","Laipu","HI",96789,2,3,"Mountain",1,2005,5592,4,1481,2014-09-25,689000,728000,-158.0046896,21.4764076
"77",77,65,"95-1030","Hakala","HI",96789,2,3,"Garden",2,1992,4907,4,1477,2015-03-18,690000,700000,-157.9973577,21.4645037
"78",78,65,"95-1217","Laipu","HI",96789,3,3,"Mountain,Sunrise,Sunset",2,2004,2944,4,1587,2014-06-02,695000,725000,-158.0049826,21.4761538
"79",79,65,"95-1013","Haulelau","HI",96789,2,3,"None",1,2004,4485,5,1481,2014-06-18,700000,718000,-157.978184,21.480435
"80",80,65,"95-202","Melekai","HI",96789,3,4,"Mountain",2,2005,6517,5,1530,2013-08-30,705000,699900,-158.008759,21.475976
"81",81,65,"95-1024","Lahui","HI",96789,3,3,"None",2,1992,5114,4,1407,2014-10-03,705000,720000,-157.995185,21.463081
"82",82,65,"95-211","Kuauna","HI",96789,2,3,"Mountain",1,1997,5200,4,1504,2014-02-28,707000,719000,-158.004276,21.478231
"83",83,65,"95-1032","Aliana","HI",96789,3,3,"Mountain,Ocean,Sunrise",2,2004,3202,5,1513,2014-10-28,707500,749900,-157.983496,21.479905
"84",84,65,"95-232","Haleleka","HI",96789,3,4,"None",2,2004,2886,5,1513,2014-12-19,707500,749000,-157.982496,21.480427
"85",85,65,"95-203","Kuanoni","HI",96789,3,3,"Mountain",2,1995,5556,4,1368,2014-09-05,710000,710000,-157.997083,21.477769
"86",86,65,"95-1045","Kahakiki","HI",96789,3,4,"Garden",2,2001,3750,5,1768,2015-03-06,710000,699000,-157.978187,21.479333
"87",87,65,"95-1031","Mahelu","HI",96789,3,3,"Garden",2,2004,3445,4,1587,2014-09-02,715000,715000,-157.982496,21.480427
"88",88,65,"95-995","Keehau","HI",96789,3,3,"Coastline,Garden,Mountain",2,2003,3824,5,1614,2014-12-17,715000,710000,-157.989466,21.4798874
